Compound,Date,Negative,Neutral,Positive,Tweets Ago
0.8442,Sat Feb 03 09:01:27 +0000 2018,0.0,0.569,0.431,286
0.296,Sat Feb 03 09:01:20 +0000 2018,0.094,0.769,0.136,287
-0.4767,Sat Feb 03 09:01:05 +0000 2018,0.194,0.806,0.0,288
0.4404,Sat Feb 03 09:00:51 +0000 2018,0.0,0.828,0.172,289
-0.128,Sat Feb 03 09:00:47 +0000 2018,0.124,0.772,0.104,290
0.0,Sat Feb 03 09:00:25 +0000 2018,0.0,1.0,0.0,291
0.3818,Sat Feb 03 09:00:07 +0000 2018,0.0,0.833,0.167,292
-0.296,Sat Feb 03 09:00:04 +0000 2018,0.095,0.905,0.0,293
-0.4767,Sat Feb 03 08:59:50 +0000 2018,0.215,0.785,0.0,294
-0.34,Sat Feb 03 08:59:37 +0000 2018,0.13,0.87,0.0,295
0.8217,Sat Feb 03 08:58:35 +0000 2018,0.0,0.543,0.457,296
-0.296,Sat Feb 03 08:58:29 +0000 2018,0.095,0.905,0.0,297
0.0,Sat Feb 03 08:58:19 +0000 2018,0.0,1.0,0.0,298
0.6249,Sat Feb 03 08:58:08 +0000 2018,0.0,0.797,0.203,299
0.5574,Sat Feb 03 08:57:57 +0000 2018,0.0,0.816,0.184,300
-0.3818,Sat Feb 03 09:18:45 +0000 2018,0.178,0.822,0.0,301
-0.296,Sat Feb 03 09:18:39 +0000 2018,0.095,0.905,0.0,302
-0.5994,Sat Feb 03 09:18:21 +0000 2018,0.189,0.811,0.0,303
-0.296,Sat Feb 03 09:18:15 +0000 2018,0.355,0.645,0.0,304
-0.5267,Sat Feb 03 09:18:05 +0000 2018,0.173,0.827,0.0,305
-0.5267,Sat Feb 03 09:17:42 +0000 2018,0.175,0.825,0.0,306
-0.3182,Sat Feb 03 09:17:38 +0000 2018,0.119,0.881,0.0,307
0.0516,Sat Feb 03 09:17:37 +0000 2018,0.151,0.69,0.159,308
0.0,Sat Feb 03 09:16:45 +0000 2018,0.0,1.0,0.0,309
0.4574,Sat Feb 03 09:16:38 +0000 2018,0.0,0.813,0.187,310
0.3612,Sat Feb 03 09:16:02 +0000 2018,0.0,0.884,0.116,311
-0.3182,Sat Feb 03 09:15:55 +0000 2018,0.113,0.887,0.0,312
0.8591,Sat Feb 03 09:15:45 +0000 2018,0.099,0.546,0.355,313
-0.2263,Sat Feb 03 09:15:08 +0000 2018,0.163,0.707,0.131,314
0.8591,Sat Feb 03 09:14:58 +0000 2018,0.099,0.546,0.355,315
-0.6249,Sat Feb 03 09:14:46 +0000 2018,0.219,0.707,0.074,316
-0.5994,Sat Feb 03 09:14:40 +0000 2018,0.353,0.647,0.0,317
0.296,Sat Feb 03 09:14:04 +0000 2018,0.0,0.864,0.136,318
0.296,Sat Feb 03 09:13:55 +0000 2018,0.094,0.769,0.136,319
0.624,Sat Feb 03 09:13:53 +0000 2018,0.0,0.702,0.298,320
0.0,Sat Feb 03 09:13:22 +0000 2018,0.0,1.0,0.0,321
0.8591,Sat Feb 03 09:13:19 +0000 2018,0.099,0.546,0.355,322
-0.128,Sat Feb 03 09:13:12 +0000 2018,0.124,0.772,0.104,323
0.296,Sat Feb 03 09:12:58 +0000 2018,0.094,0.769,0.136,324
0.8442,Sat Feb 03 09:12:52 +0000 2018,0.0,0.569,0.431,325
0.0,Sat Feb 03 09:12:50 +0000 2018,0.0,1.0,0.0,326
-0.8828,Sat Feb 03 09:12:46 +0000 2018,0.399,0.601,0.0,327
0.0,Sat Feb 03 09:12:18 +0000 2018,0.0,1.0,0.0,328
0.0,Sat Feb 03 09:12:17 +0000 2018,0.0,1.0,0.0,329
-0.296,Sat Feb 03 09:12:05 +0000 2018,0.095,0.905,0.0,330
0.0,Sat Feb 03 09:12:05 +0000 2018,0.0,1.0,0.0,331
0.0,Sat Feb 03 09:12:01 +0000 2018,0.0,1.0,0.0,332
0.296,Sat Feb 03 09:11:56 +0000 2018,0.0,0.855,0.145,333
-0.4023,Sat Feb 03 09:11:47 +0000 2018,0.109,0.891,0.0,334
0.5267,Sat Feb 03 09:11:35 +0000 2018,0.126,0.629,0.245,335
-0.4939,Sat Feb 03 09:11:27 +0000 2018,0.237,0.645,0.118,336
0.2411,Sat Feb 03 09:11:03 +0000 2018,0.127,0.634,0.238,337
0.2411,Sat Feb 03 09:11:03 +0000 2018,0.127,0.634,0.238,338
-0.1027,Sat Feb 03 09:10:50 +0000 2018,0.062,0.938,0.0,339
