Compound,Date,Negative,Neutral,Positive,Tweets Ago
-0.296,Sat Feb 03 08:54:09 +0000 2018,0.084,0.916,0.0,154
0.0,Sat Feb 03 08:54:08 +0000 2018,0.0,1.0,0.0,155
0.4019,Sat Feb 03 08:54:02 +0000 2018,0.0,0.856,0.144,156
0.0,Sat Feb 03 08:53:58 +0000 2018,0.0,1.0,0.0,157
0.6696,Sat Feb 03 08:53:52 +0000 2018,0.0,0.728,0.272,158
-0.5267,Sat Feb 03 08:53:51 +0000 2018,0.278,0.722,0.0,159
0.4404,Sat Feb 03 08:53:44 +0000 2018,0.0,0.879,0.121,160
0.0,Sat Feb 03 08:53:41 +0000 2018,0.0,1.0,0.0,161
-0.6115,Sat Feb 03 08:53:34 +0000 2018,0.166,0.834,0.0,162
0.1311,Sat Feb 03 08:53:32 +0000 2018,0.114,0.756,0.13,163
-0.3818,Sat Feb 03 08:53:27 +0000 2018,0.098,0.902,0.0,164
-0.8316,Sat Feb 03 08:53:20 +0000 2018,0.468,0.532,0.0,165
0.25,Sat Feb 03 08:53:18 +0000 2018,0.0,0.9,0.1,166
0.0,Sat Feb 03 08:53:14 +0000 2018,0.0,1.0,0.0,167
0.6597,Sat Feb 03 08:53:13 +0000 2018,0.0,0.803,0.197,168
0.2023,Sat Feb 03 08:53:13 +0000 2018,0.0,0.913,0.087,169
0.0,Sat Feb 03 08:53:09 +0000 2018,0.0,1.0,0.0,170
0.0,Sat Feb 03 08:53:04 +0000 2018,0.0,1.0,0.0,171
-0.296,Sat Feb 03 08:53:01 +0000 2018,0.078,0.922,0.0,172
0.0,Sat Feb 03 08:52:51 +0000 2018,0.0,1.0,0.0,173
-0.6249,Sat Feb 03 08:52:51 +0000 2018,0.317,0.683,0.0,174
0.0,Sat Feb 03 08:52:49 +0000 2018,0.0,1.0,0.0,175
0.0,Sat Feb 03 08:52:46 +0000 2018,0.0,1.0,0.0,176
0.0772,Sat Feb 03 08:52:43 +0000 2018,0.0,0.915,0.085,177
-0.5994,Sat Feb 03 08:52:43 +0000 2018,0.214,0.786,0.0,178
-0.5994,Sat Feb 03 08:52:42 +0000 2018,0.214,0.786,0.0,179
-0.5574,Sat Feb 03 08:52:28 +0000 2018,0.159,0.841,0.0,180
-0.5574,Sat Feb 03 08:52:23 +0000 2018,0.184,0.816,0.0,181
0.0,Sat Feb 03 08:52:17 +0000 2018,0.0,1.0,0.0,182
0.0,Sat Feb 03 08:52:15 +0000 2018,0.0,1.0,0.0,183
0.0,Sat Feb 03 08:52:07 +0000 2018,0.0,1.0,0.0,184
-0.4767,Sat Feb 03 08:52:06 +0000 2018,0.147,0.853,0.0,185
0.0,Sat Feb 03 08:52:02 +0000 2018,0.0,1.0,0.0,186
-0.3818,Sat Feb 03 08:51:55 +0000 2018,0.098,0.902,0.0,187
-0.5994,Sat Feb 03 08:51:51 +0000 2018,0.214,0.786,0.0,188
-0.296,Sat Feb 03 08:51:48 +0000 2018,0.078,0.922,0.0,189
-0.5267,Sat Feb 03 08:51:47 +0000 2018,0.12,0.88,0.0,190
0.0,Sat Feb 03 08:51:36 +0000 2018,0.0,1.0,0.0,191
0.0516,Sat Feb 03 08:51:36 +0000 2018,0.239,0.507,0.254,192
0.0,Sat Feb 03 08:51:33 +0000 2018,0.0,1.0,0.0,193
0.0,Sat Feb 03 08:51:28 +0000 2018,0.0,1.0,0.0,194
0.0,Sat Feb 03 08:51:27 +0000 2018,0.0,1.0,0.0,195
-0.296,Sat Feb 03 08:51:26 +0000 2018,0.084,0.916,0.0,196
-0.7783,Sat Feb 03 08:51:15 +0000 2018,0.312,0.688,0.0,197
0.3535,Sat Feb 03 08:51:12 +0000 2018,0.0,0.817,0.183,198
0.6597,Sat Feb 03 08:51:09 +0000 2018,0.0,0.803,0.197,199
0.0,Sat Feb 03 08:51:03 +0000 2018,0.0,1.0,0.0,200
0.0772,Sat Feb 03 08:59:25 +0000 2018,0.0,0.915,0.085,201
0.0,Sat Feb 03 08:59:16 +0000 2018,0.0,1.0,0.0,202
0.0,Sat Feb 03 08:59:10 +0000 2018,0.0,1.0,0.0,203
0.0,Sat Feb 03 08:59:01 +0000 2018,0.0,1.0,0.0,204
0.0,Sat Feb 03 08:59:00 +0000 2018,0.0,1.0,0.0,205
0.8481,Sat Feb 03 08:58:52 +0000 2018,0.0,0.494,0.506,206
0.128,Sat Feb 03 08:58:52 +0000 2018,0.119,0.734,0.147,207
-0.8176,Sat Feb 03 08:58:40 +0000 2018,0.405,0.595,0.0,208
0.0,Sat Feb 03 08:58:21 +0000 2018,0.0,1.0,0.0,209
0.128,Sat Feb 03 08:58:17 +0000 2018,0.0,0.889,0.111,210
-0.6369,Sat Feb 03 08:58:14 +0000 2018,0.231,0.769,0.0,211
0.0,Sat Feb 03 08:58:11 +0000 2018,0.0,1.0,0.0,212
0.5106,Sat Feb 03 08:58:07 +0000 2018,0.0,0.87,0.13,213
0.7677,Sat Feb 03 08:58:06 +0000 2018,0.0,0.816,0.184,214
0.0,Sat Feb 03 08:58:03 +0000 2018,0.0,1.0,0.0,215
